linja,operaattori,suunnitellut,ajettu,luotettavuus
96,Koiviston Auto,120,89,74.17
114N,Nobina Finland,8,6,75.0
90,Koiviston Auto,121,93,76.86
436N,Koiviston Auto,9,7,77.78
717N,Koiviston Auto,18,14,77.78
736B,Koiviston Auto,5,4,80.0
113N,Nobina Finland,10,8,80.0
721,Koiviston Auto,70,63,90.0
736,Koiviston Auto,30,27,90.0
521,Pohjolan Liikenne,34,31,91.18
549,Nobina Finland,112,104,92.86
236,Pohjolan Liikenne,36,34,94.44
96N,Koiviston Auto,21,20,95.24
113,Nobina Finland,116,111,95.69
611,Pohjolan Liikenne,94,90,95.74
631,Koiviston Auto,73,70,95.89
64,Pohjolan Liikenne,99,95,95.96
561,Koiviston Auto,89,86,96.63
562,Koiviston Auto,98,95,96.94
500,Pohjolan Liikenne,149,145,97.32
114,Nobina Finland,116,113,97.41
67,Pohjolan Liikenne,107,105,98.13
111,Nobina Finland,115,113,98.26
81,Nobina Finland,120,118,98.33
224,Pohjolan Liikenne,61,60,98.36
711K,Koiviston Auto,71,70,98.59
118,Pohjolan Liikenne,162,160,98.77
560,Koiviston Auto,188,186,98.94
66,Pohjolan Liikenne,107,106,99.07
82,Nobina Finland,114,113,99.12
87,Nobina Finland,113,112,99.12
88,Nobina Finland,114,113,99.12
80,Nobina Finland,125,124,99.2
79,Nobina Finland,170,169,99.41
214,Pohjolan Liikenne,51,51,100.0
214A,Pohjolan Liikenne,21,21,100.0
22,Nobina Finland,74,74,100.0
224B,Pohjolan Liikenne,6,6,100.0
224X,Pohjolan Liikenne,58,58,100.0
215,Pohjolan Liikenne,65,65,100.0
227,Pohjolan Liikenne,69,69,100.0
227N,Pohjolan Liikenne,9,9,100.0
23,Pohjolan Liikenne,122,122,100.0
22B,Nobina Finland,37,37,100.0
231N,Pohjolan Liikenne,16,16,100.0
235N,Pohjolan Liikenne,9,9,100.0
239,Pohjolan Liikenne,34,34,100.0
24,Nobina Finland,34,34,100.0
242,V-S Bussipalvelut,22,22,100.0
21,Nobina Finland,182,182,100.0
21N,Nobina Finland,18,18,100.0
166,V-S Bussipalvelut,20,20,100.0
173,Pohjolan Liikenne,13,13,100.0
166K,V-S Bussipalvelut,4,4,100.0
167,V-S Bussipalvelut,24,24,100.0
171,Pohjolan Liikenne,52,52,100.0
118N,Pohjolan Liikenne,19,19,100.0
124,Pohjolan Liikenne,92,92,100.0
125,Pohjolan Liikenne,77,77,100.0
125N,Pohjolan Liikenne,18,18,100.0
133,Pohjolan Liikenne,46,46,100.0
162,Pohjolan Liikenne,106,106,100.0
102N,Nobina Finland,19,19,100.0
105B,Nobina Finland,50,50,100.0
345N,Nobina Finland,2,2,100.0
345,Nobina Finland,46,46,100.0
335B,Nobina Finland,60,60,100.0
311,Koiviston Auto,64,64,100.0
300,Nobina Finland,201,201,100.0
30,Nobina Finland,153,153,100.0
