paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-01,11602,11447,155,98.66,98.91,97.36,99.23,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-02,19644,19359,285,98.55,99.05,97.8,98.41,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-03,14003,13868,135,99.04,99.0,98.33,99.5,100.0
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-04,11602,11495,107,99.08,98.79,98.62,99.64,99.88
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-05,19644,19205,439,97.77,97.54,97.72,97.44,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-06,11602,11463,139,98.8,97.97,99.69,98.67,100.0
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-07,19639,19011,628,96.8,97.74,98.91,93.05,99.57
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-08,19654,19054,600,96.95,98.55,98.11,93.16,99.65
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-09,20076,19585,491,97.55,98.35,99.01,94.6,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-10,14000,13854,146,98.96,98.3,98.89,99.63,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-11,11602,11455,147,98.73,97.95,98.56,99.53,100.0
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-13,19653,19204,449,97.72,98.79,99.01,94.61,99.83
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
